Model,group,n,length_mean,length_std,ortho_n_mean,ortho_n_std,token_count_mean,token_count_std
Qwen2.5-1.5B,high_freq_before,13768,7.080912113189697,2.33626914024353,2.176859378814697,3.650379896163941,1.832219639744335,0.6325260045347174
,low_freq_before,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.677171234411172,0.6971040754643003
,high_freq_after,13391,7.180942535400391,2.288839340209961,1.792248487472534,2.855413913726806,1.851318049436188,0.6279868060742592
,low_freq_after,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.677171234411172,0.6971040754643003
LLaMA-3.2-3B,high_freq_before,13768,7.080912113189697,2.33626914024353,2.176859378814697,3.650379896163941,1.829023823358512,0.630633937629961
,low_freq_before,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.66880740796057,0.6925228130799614
,high_freq_after,13391,7.181091785430908,2.288599014282227,1.792173862457275,2.85510778427124,1.848106937495333,0.6260857650306668
,low_freq_after,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.66880740796057,0.6925228130799614
Qwen3-4B-Base,high_freq_before,10686,7.075987339019775,2.332911491394043,2.182575225830078,3.664413213729858,1.835204941044357,0.6335196713462796
,low_freq_before,10393,8.922832489013672,2.356435060501098,0.5080342292785645,1.360307216644287,2.676320600404118,0.6971469741495039
,high_freq_after,10393,7.17656135559082,2.284595966339112,1.794284582138062,2.857906579971313,1.854709900894833,0.6287486981810539
,low_freq_after,10393,8.922832489013672,2.356435060501098,0.5080342292785645,1.360307216644287,2.676320600404118,0.6971469741495039
Llama-3.1-8B,high_freq_before,10686,7.075987339019775,2.332911491394043,2.182575225830078,3.664413213729858,1.83146172562231,0.6312012266850888
,low_freq_before,10393,8.922832489013672,2.356435060501098,0.5080342292785645,1.360307216644287,2.668238237275089,0.6931983503044865
,high_freq_after,10393,7.176657199859619,2.284441232681274,1.794188380241394,2.857512474060059,1.850957375156355,0.6264122291088963
,low_freq_after,10393,8.922832489013672,2.356435060501098,0.5080342292785645,1.360307216644287,2.668238237275089,0.6931983503044865
Qwen3-8B-Base,high_freq_before,10686,7.075987339019775,2.332911491394043,2.182575225830078,3.664413213729858,1.835204941044357,0.6335196713462796
,low_freq_before,10393,8.922832489013672,2.356435060501098,0.5080342292785645,1.360307216644287,2.676320600404118,0.6971469741495039
,high_freq_after,10393,7.17656135559082,2.284595966339112,1.794284582138062,2.857906579971313,1.854709900894833,0.6287486981810539
,low_freq_after,10393,8.922832489013672,2.356435060501098,0.5080342292785645,1.360307216644287,2.676320600404118,0.6971469741495039
Qwen2.5-3B,high_freq_before,13768,7.080912113189697,2.33626914024353,2.176859378814697,3.650379896163941,1.832219639744335,0.6325260045347174
,low_freq_before,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.677171234411172,0.6971040754643003
,high_freq_after,13391,7.180942535400391,2.288839340209961,1.792248487472534,2.855413913726806,1.851318049436188,0.6279868060742592
,low_freq_after,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.677171234411172,0.6971040754643003
SmolLM3-3B-Base,high_freq_before,13768,7.080912113189697,2.33626914024353,2.176859378814697,3.650379896163941,1.829023823358512,0.630633937629961
,low_freq_before,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.66880740796057,0.6925228130799614
,high_freq_after,13391,7.181091785430908,2.288599014282227,1.792173862457275,2.85510778427124,1.848106937495333,0.6260857650306668
,low_freq_after,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.66880740796057,0.6925228130799614
Llama-3.2-1B,high_freq_before,13768,7.080912113,2.33626914,2.176859379,3.650379896,1.829023823,0.630633938
,low_freq_before,13391,8.9264431,2.361234188,0.512732446,1.367981911,2.668807408,0.692522813
,high_freq_after,13391,7.181091785,2.288599014,1.792173862,2.855107784,1.848106937,0.626085765
,low_freq_after,13391,8.9264431,2.361234188,0.512732446,1.367981911,2.668807408,0.692522813
SmolLM2-360M,high_freq_before,13768,7.080912113189697,2.33626914024353,2.176859378814697,3.650379896163941,1.908338175479372,0.6429975683111715
,low_freq_before,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.716451347920245,0.6999346955281758
,high_freq_after,13391,7.181091785430908,2.288599014282227,1.792323231697082,2.855720281600952,1.928384736016728,0.6371563853686384
,low_freq_after,13391,8.926443099975586,2.361234188079834,0.5127324461936951,1.367981910705566,2.716451347920245,0.6999346955281758
