Models,layer,acc_task,acc_shuffled,selectivity
Qwen2.5-1.5B,0,0.7614656237134624,0.4769864141622066,0.2844792095512557
,4,0.917332235487855,0.4744339234252779,0.4428983120625771
,7,0.9411280362289008,0.4810209962947715,0.4601070399341292
,8,0.9431041580897488,0.5357760395224372,0.4073281185673116
,12,0.9435981885549608,0.5060518731988473,0.4375463153561136
,14,0.9472210786331824,0.5424454508027995,0.4047756278303829
,16,0.945821325648415,0.4974886784685056,0.4483326471799094
,20,0.9462330177027584,0.3903664059283656,0.5558666117743928
,21,0.94178674351585,0.3841910251132153,0.5575957184026348
,24,0.9359407163441744,0.6339234252778921,0.3020172910662824
,27,0.9342939481268012,0.5134623301770276,0.4208316179497735
LLaMA-3.2-3B,0,0.7564429806504734,0.4770687525730753,0.2793742280773981
,4,0.967558666117744,0.470152326060107,0.4974063400576368
,7,0.9748044462741868,0.4704816797035817,0.5043227665706052
,8,0.9757101687937424,0.5147797447509264,0.4609304240428159
,12,0.9744750926307122,0.5569370111156855,0.4175380815150267
,14,0.9747221078633184,0.5198023878139152,0.454919720049403
,16,0.9743104158089748,0.4967476327706875,0.4775627830382874
,20,0.9720872787155208,0.5079456566488266,0.4641416220666942
,21,0.9715932482503088,0.4889254837381638,0.4826677645121449
,24,0.9719226018937834,0.5205434335117333,0.4513791683820501
,27,0.97027583367641,0.5212021407986825,0.4490736928777274
Qwen3-4B-Base,0,0.7980238781391519,0.5505146150679292,0.2475092630712226
,4,0.9284479209551256,0.4515438452037875,0.476904075751338
,8,0.9539728283244132,0.414985590778098,0.5389872375463154
,9,0.9536434746809388,0.4127624536846438,0.5408810209962949
,12,0.9568546727048168,0.3916014820913956,0.5652531906134213
,16,0.9592424866200082,0.4556607657472211,0.5035817208727871
,18,0.960065870728695,0.5064635652531906,0.4536023054755044
,20,0.9606422396047756,0.4276657060518732,0.5329765335529024
,24,0.9548785508439688,0.5664882667764513,0.3883902840675174
,27,0.9547962124331,0.5430218196788802,0.4117743927542199
,28,0.9536434746809388,0.545821325648415,0.4078221490325237
,32,0.9539728283244132,0.5768629065459037,0.3771099217785096
,35,0.951585014409222,0.5766982297241663,0.3748867846850556
Llama-3.1-8B,0,0.8051873198847262,0.4360642239604775,0.3691230959242487
,4,0.9790860436393578,0.4766570605187319,0.5024289831206259
,8,0.9829559489501852,0.437710992177851,0.5452449567723343
,12,0.9846850555784272,0.5569370111156855,0.4277480444627418
,16,0.9823795800741044,0.4612597776862907,0.5211198023878139
,20,0.9807328118567312,0.4964182791272128,0.4843145327295182
,24,0.9788390284067516,0.4722931247426924,0.5065459036640593
,28,0.9769452449567724,0.5866611774392754,0.390284067517497
,31,0.9787566899958832,0.6184438040345821,0.3603128859613009
Qwen3-8B-Base,0,0.7886372993001235,0.4590366405928365,0.3296006587072869
,4,0.9256484149855908,0.4663647591601482,0.4592836558254426
,8,0.953067105804858,0.4165500205846027,0.5365170852202552
,9,0.95603128859613,0.5608892548373816,0.3951420337587484
,12,0.9571016879374228,0.4667764512144916,0.4903252367229312
,16,0.9627006998764924,0.5706051873198847,0.3920955125566077
,18,0.9647591601482092,0.5045697818032112,0.4601893783449979
,20,0.96533552902429,0.615726636475916,0.3496088925483739
,24,0.9631947303417044,0.6015644298065047,0.3616303005351997
,27,0.9594071634417456,0.5749691230959243,0.3844380403458213
,28,0.9606422396047756,0.5756278303828736,0.3850144092219021
,32,0.95603128859613,0.5895430218196789,0.3664882667764512
,35,0.954549197200494,0.4993824619184849,0.455166735282009
Qwen2.5-3B,0,0.7807328118567312,0.4756689995883079,0.3050638122684232
,4,0.8896665294359819,0.431700288184438,0.4579662412515438
,8,0.925319061342116,0.4550843968711404,0.4702346644709756
,9,0.9384108686702348,0.4654590366405928,0.4729518320296418
,12,0.946562371346233,0.4664470975710169,0.4801152737752161
,16,0.954302181967888,0.4219843557019349,0.5323178262659531
,18,0.9561959654178674,0.4634005763688761,0.4927953890489913
,20,0.952573075339646,0.4606010703993413,0.4919720049403047
,24,0.9542198435570194,0.4219020172910663,0.5323178262659531
,27,0.954055166735282,0.4439687114038699,0.5100864553314122
,28,0.9521613832853026,0.4829971181556196,0.469164265129683
,32,0.9490325236722932,0.4795389048991354,0.4694936187731576
,35,0.9456566488266775,0.4871963771099217,0.4584602717167559
SmolLM3-3B-Base,0,0.7019349526554137,0.4727871552079045,0.2291477974475092
,4,0.9449979415397284,0.4351585014409221,0.5098394400988061
,8,0.955537258130918,0.4746809386578839,0.4808563194730341
,9,0.9566899958830796,0.4496500617538082,0.5070399341292713
,12,0.9602305475504322,0.4620008233841087,0.4982297241663235
,16,0.9614656237134624,0.4511321531494442,0.5103334705640181
,18,0.9591601482091396,0.4930424042815973,0.4661177439275422
,20,0.962289007822149,0.4791272128447921,0.4831617949773569
,24,0.9536434746809388,0.4764923836969946,0.477151090983944
,27,0.95603128859613,0.4644709757101688,0.4915603128859612
,28,0.9511733223548784,0.4550020584602717,0.4961712638946068
,32,0.9497735693701111,0.4760806916426513,0.4736928777274598
,35,0.9503499382461918,0.5103334705640181,0.4400164676821737
Llama-3.2-1B,0,0.7365170852202553,0.4978180321119802,0.238699053108275
,4,0.9593248250308768,0.4660354055166735,0.4932894195142033
,8,0.9631123919308358,0.4788801976121861,0.4842321943186496
,12,0.9566899958830796,0.5045697818032112,0.4521202140798682
,15,0.951337999176616,0.5058871963771099,0.445450802799506
SmolLM2-360M,0,0.5938246191848497,0.4724578015644298,0.1213668176204199
,4,0.8283244133388226,0.4759983532317826,0.3523260601070399
,8,0.8712227254013998,0.4228900782214903,0.4483326471799094
,12,0.8885137916838205,0.4655413750514615,0.422972416632359
,16,0.8901605599011939,0.4057636887608069,0.484396871140387
,20,0.891889666529436,0.4083985179086044,0.4834911486208316
,24,0.8888431453272951,0.4723754631535611,0.416467682173734
,28,0.8810209962947715,0.4895841910251132,0.3914368052696583
,31,0.8735282009057225,0.561547962124331,0.3119802387813915
